"variable","X1"
"X.Intercept.",-0.124211237456146
"X.Intercept..1",0
"Age",-0.0449436610765941
"BusinessTravelTravel_Frequently",0.403306803673379
"BusinessTravelTravel_Rarely",0
"X.Intercept.",-0.0250725641081437
"X.Intercept..1",0
"Age",-0.0452334003076471
"DepartmentResearch...Development",0
"DepartmentSales",-0.0185705341140415
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"DistanceFromHome",0
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"Education",0
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"EducationFieldLife.Sciences",0
"EducationFieldMarketing",0
"EducationFieldMedical",0
"EducationFieldOther",0
"EducationFieldTechnical.Degree",0
"X.Intercept.",-0.0314484911687327
"X.Intercept..1",0
"Age",-0.0452286789552967
"GenderMale",0.000999386123168928
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"JobLevel",0
"X.Intercept.",-0.00389355002480407
"X.Intercept..1",0
"Age",-0.0453870624092766
"JobRoleHuman.Resources",0
"JobRoleLaboratory.Technician",0
"JobRoleManager",-0.0814360562134282
"JobRoleManufacturing.Director",-0.232446877850917
"JobRoleResearch.Director",0.103674602409589
"JobRoleResearch.Scientist",0
"JobRoleSales.Executive",0
"JobRoleSales.Representative",0
"X.Intercept.",-0.465330165189264
"X.Intercept..1",0
"Age",-0.0406355512403467
"MaritalStatusMarried",0
"MaritalStatusSingle",0.718934340826219
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"MonthlyIncome",0
"X.Intercept.",0.00862252340991043
"X.Intercept..1",0
"Age",-0.0506035813628802
"NumCompaniesWorked",0.0563396559367325
"X.Intercept.",-0.0708263121031649
"X.Intercept..1",0
"Age",-0.045183942185346
"PercentSalaryHike",0.00252252503676428
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"StockOptionLevel",0
"X.Intercept.",-0.466786586277388
"X.Intercept..1",0
"Age",-0.0181938105496451
"TotalWorkingYears",-0.0527781638797368
"X.Intercept.",0.129305794017959
"X.Intercept..1",0
"Age",-0.0454172375700812
"TrainingTimesLastYear",-0.0552970997066901
"X.Intercept.",-0.0500783800534959
"X.Intercept..1",0
"Age",-0.0370321699899092
"YearsAtCompany",-0.0429323739065653
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"YearsSinceLastPromotion",0
"X.Intercept.",0.0355041836515015
"X.Intercept..1",0
"Age",-0.0365283954338102
"YearsWithCurrManager",-0.101247511012499
"X.Intercept.",0.436100517942526
"X.Intercept..1",0
"Age",-0.0451738219676678
"EnvironmentSatisfaction",-0.175870192193004
"X.Intercept.",0.354007031055119
"X.Intercept..1",0
"Age",-0.0454716485938753
"JobSatisfaction",-0.140282313521469
"X.Intercept.",0.489647931837437
"X.Intercept..1",0
"Age",-0.0457607316101506
"WorkLifeBalance",-0.183956156162855
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"JobInvolvement",0
"X.Intercept.",-0.0307878225458287
"X.Intercept..1",0
"Age",-0.0452304410877233
"PerformanceRating",0
"X.Intercept.",-2.73318312460269
"X.Intercept..1",0
"Age",-0.0464893583118663
"Avg_Daily_Hours",0.347185382434122
